Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,13.260000,13.260000,12.310000,12.740000,12.740000,731800
2022-03-28,12.820000,13.400000,12.369000,12.930000,12.930000,887100
2022-03-29,13.070000,14.410000,13.070000,14.270000,14.270000,948800
2022-03-30,14.040000,14.720000,13.760000,13.870000,13.870000,965300
2022-03-31,13.830000,14.330000,13.549000,13.880000,13.880000,976600
2022-04-01,13.960000,14.860000,13.960000,14.730000,14.730000,1017000
2022-04-04,14.850000,15.190000,14.510000,14.550000,14.550000,957700
2022-04-05,14.540000,14.540000,13.420000,13.570000,13.570000,1295800
2022-04-06,13.290000,13.390000,12.450000,13.160000,13.160000,1238100
2022-04-07,13.170000,13.440000,12.500000,13.180000,13.180000,1038200
2022-04-08,13.070000,13.150000,12.230000,12.390000,12.390000,1148800
2022-04-11,12.310000,12.580000,11.830000,12.050000,12.050000,983700
2022-04-12,12.310000,12.925000,11.760000,11.990000,11.990000,1248000
2022-04-13,11.830000,12.300000,11.750000,12.000000,12.000000,2369300
2022-04-14,12.050000,12.050000,10.710000,10.820000,10.820000,1477100
2022-04-18,10.790000,10.820000,10.160000,10.330000,10.330000,1102300
2022-04-19,10.320000,10.720000,10.180000,10.340000,10.340000,1184300
2022-04-20,10.420000,10.480000,9.695000,10.000000,10.000000,1027700
2022-04-21,10.280000,10.610000,9.200000,9.350000,9.350000,1217100
2022-04-22,9.400000,9.690000,9.080000,9.180000,9.180000,1855600
2022-04-25,9.190000,9.540000,9.040000,9.340000,9.340000,2074400
2022-04-26,9.270000,9.407000,8.600000,8.610000,8.610000,1773600
2022-04-27,8.570000,8.980000,8.450000,8.510000,8.510000,1206900
2022-04-28,8.540000,8.720000,7.980000,8.570000,8.570000,2121800
2022-04-29,8.500000,8.920000,8.220000,8.250000,8.250000,1822100
2022-05-02,8.210000,8.690000,8.060000,8.660000,8.660000,2165100
2022-05-03,8.610000,9.170000,8.570000,8.950000,8.950000,1646000
2022-05-04,8.880000,9.390000,8.380000,9.250000,9.250000,1271100
2022-05-05,9.240000,9.415000,8.735000,8.850000,8.850000,2007000
2022-05-06,8.690000,8.710000,7.950000,8.220000,8.220000,1764400
2022-05-09,7.830000,7.920000,7.115000,7.230000,7.230000,2343900
2022-05-10,7.500000,7.940000,6.790000,7.230000,7.230000,2420100
2022-05-11,7.130000,7.220000,6.480000,6.495000,6.495000,1831000
2022-05-12,6.260000,6.970000,6.200000,6.880000,6.880000,2468800
2022-05-13,7.160000,8.270000,7.080000,8.240000,8.240000,1993500
2022-05-16,8.140000,8.360000,7.850000,8.090000,8.090000,1490700
2022-05-17,8.380000,8.610000,7.920000,8.210000,8.210000,1274700
2022-05-18,7.990000,8.188000,7.440000,7.530000,7.530000,1298700
2022-05-19,7.480000,7.910000,7.440000,7.780000,7.780000,1721100
2022-05-20,7.920000,8.100000,7.280000,7.710000,7.710000,1727300
2022-05-23,7.800000,7.920000,7.540000,7.900000,7.900000,1562400
2022-05-24,7.750000,7.850000,7.300000,7.470000,7.470000,1142500
2022-05-25,7.390000,7.720000,7.370000,7.530000,7.530000,871100
2022-05-26,7.540000,7.751000,7.380000,7.570000,7.570000,1426800
2022-05-27,7.640000,8.300000,7.570000,8.220000,8.220000,1155500
2022-05-31,8.180000,8.260000,7.560000,7.820000,7.820000,1426100
2022-06-01,7.910000,8.080000,7.270000,7.300000,7.300000,1261900
2022-06-02,7.250000,8.150000,7.170000,7.990000,7.990000,1525700
2022-06-03,7.750000,7.860000,6.920000,6.940000,6.940000,1722500
2022-06-06,7.130000,7.300000,6.705000,6.800000,6.800000,1465500
2022-06-07,6.670000,6.960000,6.590000,6.940000,6.940000,1528100
2022-06-08,6.910000,7.890000,6.910000,7.780000,7.780000,2060400
2022-06-09,7.610000,7.615000,7.220000,7.500000,7.500000,4967400
2022-06-10,7.200000,7.285000,6.700000,6.970000,6.970000,1422100
